,NEW_STATUS,F0119,T0186,S1628,AGE_T_x,S0287,T0178,T0080,EARNALL,T0356,T0329,T0330,T0332,T0333,T0336,T0155,T0157,T0182,T0184,T0159,T0165,T0174,TOTEXPER_x
96,1,,0,1.0,1,0.0,,0.0,1,2,1,1,1,0,1,0,1,1,1,1,1,1,2
97,1,0.0,0,0.0,0,1.0,0.0,1.0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,31
98,1,1.0,0,1.0,1,1.0,0.0,0.0,1,2,0,0,1,0,0,1,1,1,1,0,1,0,17
99,1,,0,1.0,0,0.0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,26
100,1,0.0,0,,0,1.0,,0.0,0,2,0,0,1,0,0,0,1,0,1,0,1,0,36
101,1,1.0,0,0.0,1,0.0,1.0,0.0,1,2,1,1,1,1,1,0,1,0,1,1,1,1,5
102,1,1.0,1,1.0,0,0.0,1.0,1.0,1,2,0,0,1,0,1,0,1,1,1,1,1,1,9
103,1,1.0,1,0.0,0,0.0,,0.0,1,2,1,1,0,0,1,0,1,1,1,1,1,0,5
104,1,1.0,0,1.0,0,0.0,1.0,1.0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,27
105,1,0.0,0,0.0,0,0.0,1.0,0.0,0,2,0,0,1,0,1,0,1,0,0,1,0,0,20
106,1,,0,1.0,0,1.0,,0.0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,30
107,1,0.0,0,1.0,0,1.0,,0.0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,1
108,1,1.0,0,1.0,0,0.0,1.0,0.0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,7
109,1,0.0,0,0.0,0,0.0,0.0,1.0,0,2,1,1,1,1,1,0,1,0,0,0,1,0,24
110,1,1.0,0,1.0,0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,33
111,1,1.0,0,0.0,1,0.0,1.0,0.0,1,2,0,0,0,0,1,0,1,1,1,0,1,1,4
112,1,1.0,0,0.0,0,0.0,1.0,1.0,0,2,0,0,1,0,1,1,1,0,0,1,1,1,19
113,1,1.0,0,0.0,0,0.0,0.0,1.0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,38
114,1,,0,0.0,1,0.0,1.0,0.0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,3
115,1,1.0,0,1.0,0,0.0,0.0,1.0,1,2,0,0,0,0,0,0,1,0,0,1,1,1,29
116,1,0.0,0,1.0,0,0.0,0.0,0.0,0,2,0,0,1,0,1,1,1,0,0,0,1,1,33
