,LEAVER,AGE,S0287,T0080,SALARY,T0329,T0333,T0159,T0165,EXPER,T0356,T0278,T0277,T0330
1302,1,1,0.0,1.0,0,0,0,0,0,6,1,5,1,3
1310,1,1,0.0,0.0,1,0,0,0,1,1,2,2,8,4
1312,1,1,1.0,0.0,1,1,0,1,1,3,2,10,3,2
1314,1,1,0.0,0.0,1,0,0,1,1,5,2,2,8,4
1317,1,1,0.0,1.0,1,0,0,0,1,4,2,5,1,4
1322,1,1,0.0,0.0,1,0,0,1,1,2,1,10,5,4
1325,1,1,1.0,0.0,1,0,0,0,0,1,2,3,12,3
1327,1,1,1.0,0.0,1,1,1,1,1,2,1,14,24,1
1328,1,1,1.0,1.0,1,0,1,0,0,4,2,10,15,2
1330,1,1,0.0,0.0,0,0,0,1,0,1,1,5,3,3
1335,1,1,1.0,0.0,1,0,0,0,0,2,2,5,20,4
1336,1,1,0.0,0.0,1,0,0,0,1,2,2,5,12,4
1338,1,0,1.0,0.0,1,0,0,0,0,1,2,6,2,4
1341,1,0,0.0,1.0,0,1,0,0,1,6,1,4,2,3
1342,1,1,0.0,0.0,1,1,0,0,1,2,1,0,5,3
1344,1,1,0.0,0.0,1,1,1,0,0,4,1,5,10,2
1348,1,1,0.0,0.0,0,1,1,0,0,2,1,30,18,1
1350,1,1,0.0,0.0,1,0,1,0,0,5,2,2,2,3
1352,1,1,0.0,0.0,1,1,1,1,1,6,2,30,5,1
1354,1,1,1.0,0.0,1,1,0,0,1,6,2,10,5,1
1355,1,1,0.0,0.0,1,0,0,0,1,6,2,0,5,4
1356,1,1,0.0,0.0,1,1,1,1,1,2,1,3,5,2
1360,1,0,1.0,0.0,1,0,0,1,1,2,2,1,6,3
1361,1,1,0.0,0.0,1,0,0,0,0,1,2,2,6,4
1362,1,0,1.0,0.0,1,1,0,0,1,3,1,6,5,2
1365,1,0,0.0,1.0,0,0,0,0,1,4,1,0,8,3
1368,1,1,0.0,0.0,0,0,0,1,0,6,1,0,6,4
1369,1,1,0.0,0.0,1,1,0,1,1,5,1,5,7,1
1375,1,1,1.0,0.0,1,1,0,1,1,3,2,8,8,2
1376,1,1,0.0,0.0,1,0,1,0,0,5,2,0,5,1
1381,1,1,1.0,0.0,1,0,0,0,0,1,1,10,0,4
1382,1,0,0.0,0.0,1,1,1,1,1,2,1,8,2,1
1383,1,1,1.0,0.0,1,0,0,0,0,1,2,2,3,4
1384,1,1,1.0,,1,0,0,1,1,1,2,20,15,3
1387,1,1,0.0,0.0,1,0,0,1,0,5,2,2,4,3
1388,1,0,1.0,0.0,1,1,0,0,1,2,2,10,8,3
1392,1,0,0.0,0.0,1,0,0,1,1,1,2,3,17,3
1393,1,1,0.0,0.0,1,0,1,0,1,4,2,6,8,3
1396,1,0,0.0,1.0,1,1,1,1,0,2,2,3,2,2
1397,1,1,0.0,0.0,1,0,0,0,1,3,2,0,2,4
1399,1,1,0.0,0.0,1,1,1,0,1,1,2,0,4,1
1404,1,1,0.0,1.0,0,0,0,0,1,3,2,2,10,4
1405,1,1,,0.0,0,0,0,1,1,4,2,0,5,4
1423,1,1,0.0,0.0,1,1,1,0,1,5,2,5,3,2
1429,1,1,1.0,0.0,1,1,0,1,1,1,2,20,4,1
1432,1,1,0.0,0.0,1,0,0,1,1,4,2,2,12,4
1434,1,1,1.0,0.0,1,0,0,1,1,4,2,0,10,4
1447,1,1,0.0,0.0,1,1,1,0,0,3,2,3,12,2
1448,1,1,0.0,0.0,1,1,0,0,1,2,1,0,4,1
1451,1,1,0.0,1.0,1,1,1,1,1,5,2,0,3,2
1456,1,1,0.0,0.0,1,1,0,1,1,5,1,3,1,2
1460,1,1,1.0,0.0,1,0,0,1,1,2,1,3,10,4
1470,1,1,0.0,0.0,1,1,0,1,1,3,2,15,11,3
1472,1,1,1.0,0.0,1,0,0,0,1,5,1,5,7,2
1476,1,1,1.0,0.0,0,0,0,1,1,3,1,10,4,3
1477,1,1,1.0,0.0,1,0,0,0,1,3,1,15,3,4
1483,1,1,0.0,1.0,1,0,0,1,1,1,2,10,7,4
1486,1,1,1.0,0.0,1,0,0,1,1,6,1,0,2,4
1490,1,1,1.0,1.0,1,1,0,0,1,6,2,5,20,2
1491,1,1,0.0,0.0,1,1,1,0,1,3,1,20,25,2
1493,1,1,0.0,0.0,1,0,0,0,1,1,2,0,10,3
1498,1,1,,,1,1,0,1,0,2,1,0,3,1
1499,1,1,0.0,0.0,1,1,1,1,1,5,1,2,8,2
1501,1,1,1.0,1.0,0,0,1,1,1,5,1,8,12,3
